Prospect Name,Great Streets Corridor,Official Amount,Fiscal Year,Business Address,City,State,Zip Code,NAIC codes,Business Type,Ward,Latitude,Longitude,Total Number of Projected/Retained Jobs,Total Projected Number of Jobs,Total Number of Employees Retained
"Cirque du Rouge, LLC",H Street NE - Bladensburg Road NE,"$51,032.17 ",2016,416 H Street NE,Washington,DC,20002,81,Tattoo Shop,Ward 6,38.90038,-76.99982,6,,6
"Sagun Consulting, Inc. dba Citi Pizza",H Street NE - Bladensburg Road NE,"$42,515.20 ",2016,504 H Street NE #2,Washington,DC,20002,54,Professional Services,Ward 6,38.90041,-76.99917,7,6,1
DC Conscious,H Street NE - Bladensburg Road NE,"$85,000.00 ",2012,1413 H Street NE,Washington,DC,20002,44-45,Bookstore,Ward 6,38.90004,-76.98502,10,5,5
"Gallery O, LLC dba OH2",H Street NE - Bladensburg Road NE,"$50,000.00 ",2016,1352 H Street NE,Washington,DC,20002,44-45,Retail Gallery and Craft Store,Ward 6,38.90043,-76.98653,16,0,16
"Capitol Services Management, Inc.",Martin Luther King Jr Avenue SE,"$85,000.00 ",2014,3215 Martin Luther King Jr. Avenue SE,Washington,DC,20032,81,Construction Company,Ward 8,38.84302,-77.0013,0,,
"J. Roberts, Inc.",Martin Luther King Jr Avenue SE,"$85,000.00 ",2014,2022 Martin Luther King Jr. Avenue SE,Washington,DC,20020,54,General Contractor,Ward 8,38.86589,-76.9891,4,2,2
National Service Contractors,Martin Luther King Jr Avenue SE,"$85,000.00 ",2014,"2007 Martin Luther King Jr. Avenue SE, Suite B",Washington,DC,20020,54,General Contractor,Ward 8,38.86664,-76.98917,14,7,7
"Gebtri, Inc. dba Uniontown Bar and Grill",Martin Luther King Jr Avenue SE,"$85,000.00 ",2014,2200 Martin Luther King Jr. Avenue SE,Washington,DC,20020,72,Restaurant/Eatery,Ward 8,38.86475,-76.98959,34,17,17
"Nelson's Welding, Inc.",Martin Luther King Jr Avenue SE,"$85,000.00 ",2014,1101 W Street SE,Washington,DC,20020,54,Welding/Iron Works,Ward 8,38.86541,-76.99135,0,,0
Independent Holding Corporation,Martin Luther King Jr Avenue SE,"$85,000.00 ",2015,3200 Martin L. King Jr. AvenueSE,Washington,DC,20032,81,"Property Management, Real Estate Services",Ward 8,38.84266,-77.00077,2,2,0
Jasmine Hair Gallery,Martin Luther King Jr Avenue SE,"$50,000.00 ",2016,2202 Martin Luther King Jr. Avenue SE,Washington,DC,20020,81,Beauty Shop,Ward 8,38.86469,-76.98959,22,16,6
"Success For All Educational Services, LLC dba Baby Einstein Child Development Center",Martin Luther King Jr Avenue SE,"$50,000.00 ",2016,1225 Good Hope Road SE,Washington,DC,20020,62,Child Development,Ward 6,38.86701,-76.98785,0,0,0
"Jewel's New Beginning, LLC dba Jewel's New Beginning Learning Center",Martin Luther King Jr Avenue SE,"$50,000.00 ",2016,3927/35 South Capitol Street SW,Washington,DC,20032,62,Child Learning Center,Ward 8,38.83299,-77.0084,19,13,6
MLK Deli II,Martin Luther King Jr Avenue SE,"$50,000.00 ",2016,3113 Martin Luther King Jr. Avenue SE,Washington,DC,20032,72,Deli,Ward 8,38.84356,-76.99983,8,8,
"Inner City Resources, Inc. dba Inner City Community Resources",Martin Luther King Jr Avenue SE,"$50,000.00 ",2016,3923 South Capitol Street SW,Washington,DC,20032,44-45,Organic Food Store,Ward 8,38.832,-77.00858,3,1,2
"Creative Places, LLC dba Rita's Italian Shaved Ice",Martin Luther King Jr Avenue SE,"$50,000.00 ",2016,3109 Martin Luther King Jr. Avenue SE,Washington,DC,20032,72,Restaurant/Eatery,Ward 8,38.84367,-76.99958,0,0,0
"Washington Business Group, Inc.",Martin Luther King Jr Avenue SE,"$85,000.00 ",2014,2759 Martin Luther King Jr. Avenue SE,Washington,DC,20032,54,"Architecture, Engineering/Construction Management",Ward 8,38.84664,-76.99662,22,11,11
Kraft Studio,Martin Luther King Jr Avenue SE,"$85,000.00 ",2014,1239 Good Hope Road SE,Washington,DC,20020,71,Art Studio/Gallery,Ward 8,38.86702,-76.98741,3,3,
"Grubb's Pharmacy SE, Inc.",Martin Luther King Jr Avenue SE,"$83,294.41 ",2014,1800 Martin Luther King Jr. Avenue SE,Washington,DC,20020,44-45,Retail Pharmacy,Ward 8,38.86752,-76.98808,12,6,6
"Murphy’s Auto Body Services, Inc.",Martin Luther King Jr Avenue SE,"$61,600.00 ",2015,1708 Good Hope Road SE,Washington,DC,20020,81,Auto Repair Services,Ward 8,38.86612,-76.98018,17,13,4
Bloomingdale Partners LLC dba NURISH Food + Drink,Martin Luther King Jr Avenue SE,"$85,000.00 ",2014,"1231 Good Hope Road SE, Units 6 & 7",Washington,DC,20020,72,Restaurant/Eatery,Ward 8,38.86696,-76.98769,10,10,0
Georgene Thompson dba S&G Catering & Players Lounge,Martin Luther King Jr Avenue SE,"$50,000.00 ",2016,2737 Martin Luther King Jr Avenue SE,Washington,DC,20032,72,Restaurant,Ward 8,38.84718,-76.99635,22,9,13
"Newton Media Group, LLC dba We Act Radio",Martin Luther King Jr Avenue SE,"$85,000.00 ",2016,1918 Martin Luther King Jr. Avenue SE,Washington,DC,20020,54,Radio/Multi-Media Production,Ward 8,38.86698,-76.98857,5,5,0
Northside Medical Service Corporation,Minnesota-Benning SE,"$45,330.00 ",2014,4121 Minnesota Avenue NE,Washington,DC,20019,62,Health Services,Ward 7,38.8982,-76.9463,4,2,2
"East River Bagel, Inc. dba Eclectic Café",Minnesota-Benning SE,"$85,000.00 ",2014,4058 Minnesota Avenue NE,Washington,DC,20019,72,Restaurant/Eatery,Ward 7,38.89697,-76.94786,14,7,7
Washington Parks & People - Riverside Healthy Living Center,Nannie Helen Burroughs Avenue SE,"$23,300.00 ",2013,5200 Foote Street NE,Washington,DC,20019,54,Business Incubator/Training center,Ward 7,38.89731,-76.92562,7,0,7
Taylormade Business Centers,Nannie Helen Burroughs Avenue SE,"$23,300.00 ",2013,4645 Nannie Helen Burroughs Avenue NE,Washington,DC,20019,54,Shared Office Space,Ward 7,38.89887,-76.93435,7,,7
Fabulous Kids Child Development Center at Nannie Helen Burroughs,Nannie Helen Burroughs Avenue SE,"$81,928.00 ",2014,1505 1st Street SW,Washington,DC,20024,62,Childcare,Ward 7,38.89858,-76.92594,,,0
Drake Incorporated,Nannie Helen Burroughs Avenue SE,"$85,000.00 ",2014,4315 Sheriff Road NE,Washington,DC,20019,54,General Contractor,Ward 7,38.90261,-76.93958,6,2,4
A. Wash & Associates dba Equipped for Expansion,Nannie Helen Burroughs Avenue SE,"$15,000.00 ",2013,4800 Nannie Helen Burroughs Avenue NE,Washington,DC,20019,54,Electrical Installation/Construction Management,Ward 7,38.899112,-76.933445,34,0,34
"Capital Fresh, Inc. dba MGM Roast Beef",New York Avenue NE,"$85,000.00 ",2014,1905 Brentwood Road NE,Washington,DC,20018,72,Restaurant/Eatery,Ward 5,38.9162,-76.99421,10,10,
Tryst Trading Co. dba Who's Cookin,New York Avenue NE,"$85,000.00 ",2015,2001 Fairview Ave NE,Washington,DC,20002,72,Restaurant/Eatery,Ward 5,38.91384,-76.98852,30,20,10
"Oceanpro Industries, LTD dba Profish, Ltd",New York Avenue NE,"$85,000.00 ",2015,1900 Fenwick Street NE,Washington,DC,20002,44-45,Wholesale Seafood Processor/Distributor,Ward 5,38.9142,-76.98474,4,4,0
Great American Corporation dba Dutchmill Catering,New York Avenue NE,"$85,000.00 ",2016,2335 Bladensburg Road NE,Washington,DC,20018,72,Catering/Community Incubator Kitchen/Restaurant,Ward 5,38.92138,-76.96883,45,45,
DC Sharp,New York Avenue NE,"$50,000.00 ",2016,1309 5th Street NE,Washington,DC,20002,44-45,Cooking Knife Retailer,Ward 5,38.90861,-76.99738,20,14,6
"Hecht MRG, LLC dba Ivy City Diner",New York Avenue NE,"$50,000.00 ",2016,1401 New York Avenue NE,Washington,DC,20002,72,Restaurant,Ward 1,38.91533,-76.98461,21,21,0
Ivy City SmokeHouse,New York Avenue NE,"$85,000.00 ",2016,1356 Okie Street NE,Washington,DC,20002,44-45,Retail Store Outlet for Food Manufacturing Plant,Ward 5,38.91463,-76.98555,47,22,25
SouthEast Restaurant Group dba Revive Renewal,North Capitol Street NE,"$79,900.00 ",2013,8 Florida Avenue NW,Washington,DC,20001,72,Catering,Ward 5,38.91078,-77.0094,10,,10
Lot 1644 - Quinn Development,North Capitol Street NE,"$53,000.00 ",2013,1644 North Capitol Street NW,Washington,DC,20002,44-45,Grocery Mart,Ward 5,38.91223,-77.00945,6,,6
"Health IT 2 Business Solutions, LLC",North Capitol Street NE,"$85,000.00 ",2014,1711 North Capitol Street NE,Washington,DC,20002,81,IT services,Ward 5,38.91298,-77.00875,32,5,27
"Lisa Wise dba Nest DC, LLC",North Capitol Street NE,"$85,000.00 ",2014,87 Florida Ave NW,Washington,DC,20001,81,Property Management Company,Ward 5,38.91219,-77.01197,4,4,0
"Cornerstone Bar Group, LLC dba the Pub and the People",North Capitol Street NE,"$85,000.00 ",2014,1648 North Capitol Street NW,Washington,DC,20002,72,Restaurant/Eatery,Ward 5,38.91236,-77.00931,19,19,0
El Camino,North Capitol Street NE,"$85,000.00 ",2014,108 Rhode Island Avenue NW,Washington,DC,20001,72,Restaurant/Eatery,Ward 5,38.91525,-77.01263,30,,30
"SEB, Inc. t/a Uncle Chip's Cookies",North Capitol Street NE,"$85,000.00 ",2014,1514 North Capitol Street NW,Washington,DC,20002,72,Restaurant/Eatery,Ward 5,38.91011,-77.00936,2,2,
"Big Bear Café, LLC",North Capitol Street NE,"$84,500.00 ",2015,1700 1st Street NW,Washington,DC,20001,72,Coffee Shop/Restaurant,Ward 5,38.91275,-77.01237,49,12,37
"AED, LLC dba Rustik Tavern",North Capitol Street NE,"$67,347.00 ",2015,84 T Street NW,Washington,DC,20001,72,Restaurant/Eatery,Ward 5,38.91542,-77.01184,83,31,52
"Zembaba, Inc. dba Capitol Food Mart",North Capitol Street NE,"$85,000.00 ",2016,1634 North Capitol Street NW,Washington,DC,20002,44-45,Food Market and Deli,Ward 5,38.91213,-77.00943,34,33,1
"Milk Cult, LLC",North Capitol Street NE,"$40,000.00 ",2016,85 Hanover Place NW,Washington,DC,20001,72,Ice Cream Retailer,Ward 5,38.9081,-77.01164,11,11,0
"Menomale, LLC",Rhode Island Avenue NE,"$11,950.00 ",2016,"2711 12th Street NE, Suite A",Washington,DC,20018,72,Restaurant,Ward 5,38.92485,-76.99015,24,8,16
Thai Orchid's Kitchen,Pennsylvania Avenue SE,"$57,000.00 ",2013,2314 Pennsylvania Avenue SE,Washington,DC,20020,72,Restaurant/Eatery,Ward 7,38.87434,-76.97168,5,,5
Earl Howard Studios,Pennsylvania Avenue SE,"$85,000.00 ",2014,2528 Pennsylvania Avenue SE,Washington,DC,20020,71,Photography Studio,Ward 7,38.8732,-76.96916,10,5,5
Kangaroo Auto Crew,Pennsylvania Avenue SE,"$50,000.00 ",2016,2251 Fairlawn Avenue SE,Washington,DC,20020,81,Auto body shop,Ward 7,38.87416,-76.97403,14,7,7
Lee's Flower and Card Shop Inc.,7th St NW/Georgia Avenue NW,"$47,500.00 ",2016,1026 U Street NW,Washington,DC,20010,44-45,Flower Store,Ward 1,38.91686,-77.02676,34,25,9
AA Enterprise,Rhode Island Avenue NE,"$73,000.00 ",2014,3010 Rhode Island Avenue NE,Washington,DC,20018,81,Auto Repair Services,Ward 5,38.934644,-76.96516,0,0,0
Tiana M. Peterson dba The Material World Boutique,Rhode Island Avenue NE,"$72,700.25 ",2014,2121 Rhode Island Avenue NE,Washington,DC,20018,44-45,Clothing Store,Ward 5,38.92976,-76.9741,9,3,6
"Crave, LLC dba Mess Hall",Rhode Island Avenue NE,"$85,000.00 ",2014,703 Edgewood Street NE,Washington,DC,20017,54,Culinary Incubator,Ward 5,38.92502,-76.99586,20,15,5
"Johnstone Wagithuku dba VMG Resources, LLC",Rhode Island Avenue NE,"$85,000.00 ",2014,2630 12th Street NE,Washington,DC,20018,54,Employment Services,Ward 5,38.92378,-76.99054,3,3,0
Good Food Markets LLC,Rhode Island Avenue NE,"$85,000.00 ",2014,2006 Rhode Island Avenue NE,Washington,DC,20018,44-45,Fresh Food/Grocery Market,Ward 5,38.92953,-76.97579,19,19,0
WS Jenks & Son dba Jenks Hardware,H Street NE - Bladensburg Road NE,"$85,000.00 ",2014,910 Bladensburg Road NE,Washington,DC,20002,44-45,Hardware Retail Store,Ward 5,38.90242,-76.98229,5,5,
P & G Counseling and Educational Institute,Rhode Island Avenue NE,"$84,995.00 ",2014,2218 Rhode Island Avenue NE,Washington,DC,20018,62,Health Services,Ward 5,38.93069,-76.97343,8,8,0
DC Dragons Martial Arts Training Center,Rhode Island Avenue NE,"$69,500.00 ",2014,1731 Rhode Island Avenue NE,Washington,DC,20018,71,Martial Arts Studio,Ward 5,38.92717,-76.97951,3,3,0
"S2 Development, LLC",Rhode Island Avenue NE,"$85,000.00 ",2014,475 K Street NW Suite 309,Washington,DC,20001,81,Real Estate Development,Ward 5,38.92534,-76.9832,0,0,0
ICHPROP,Rhode Island Avenue NE,"$85,000.00 ",2014,1601 Rhode Island Avenue NE,Washington,DC,20018,72,Restaurant/Eatery,Ward 5,38.9261,-76.9817,30,15,15
Nina Gilchrist dba Provost,Rhode Island Avenue NE,"$75,473.01 ",2014,2129 Rhode Island Avenue NE,Washington,DC,20018,72,Restaurant/Eatery,Ward 5,38.92985,-76.97389,51,25,26
Beauty Secrets Inc. dba The Avenue Day Spa,Rhode Island Avenue NE,"$85,000.00 ",2014,2125 Rhode Island Avenue NE,Washington,DC,20018,81,Salon/Barbershop,Ward 5,38.92982,-76.97401,12,6,6
"Access Green, LLC",Rhode Island Avenue NE,"$84,933.00 ",2015,"617 Rhode Island Avenue NE, Suite C",Washington,DC,20002,54,Energy Services,Ward 5,38.92056,-76.99726,16,3,13
Tom Litke dba 5 Points Business Center,Rhode Island Avenue NE,"$50,000.00 ",2016,2316 Rhode Island Avenue NE,Washington,DC,20018,54,Business Center,Ward 5,38.93095,-76.97292,26,17,9
"JLK3 Enterprises, LLC dba Zeke's Coffee of DC",Rhode Island Avenue NE,"$50,000.00 ",2016,2300 Rhode Island Avenue NE,Washington,DC,20018,72,Coffee Shop,Ward 5,38.93072,-76.97215,13,2,11
"Salumeria 2703, LLC dba Salumeria 2703",Rhode Island Avenue NE,"$9,750.00 ",2016,"2703 12th Street NE, Suite A",Washington,DC,20018,72,Deli,Ward 5,38.92462,-76.99014,7,7,0
"Sabby, Inc.dba Huacatay",Rhode Island Avenue NE,"$50,000.00 ",2016,2314 4th Street NE,Washington,DC,20002,72,Restaurant,Ward 5,38.92074,-77.00094,12,12,
The Bakers' Lounge Corp dba The Bakers' Lounge,Rhode Island Avenue NE,"$10,908.14 ",2016,2703 12th Street NE,Washington,DC,20018,44-45,Retail Store Bakery/Dessert Lounge,Ward 5,38.92462,-76.99014,7,7,0
Studio E-lan LLC dba Studio E-lan LLC,Rhode Island Avenue NE,"$30,000.00 ",2016,"405 Rhode Island Avenue, NE",Washington,DC,20002,81,Salon,Ward 5,38.91964,-77.0002,9,3,6
"Skynear & Co., Inc. dba Skynear & Co",U Street/14th Street NW,"$49,460.00 ",2016,2122 8th Street NW,Washington,DC,20009,44-45,Furniture and Design Store,Ward 1,38.91861,-77.04192,26,14,12
"Arbaiza's, Inc. dba Golden Scissors",U Street/14th Street NW,"$45,000.00 ",2016,3062 Mt Pleasant Street NW,Washington,DC,20010,81,Hair Salon,Ward 1,38.92842,-77.03751,17,9,8
The Mediterranean Spot & More LLC,U Street/14th Street NW,"$40,000.00 ",2016,1501 U Street NW,Washington,DC,20009,72,Restaurant,Ward 1,38.91715,-77.03477,13,7,6
"El Tamarindo, Inc. dba El Tamarindo",U Street/14th Street NW,"$37,500.00 ",2016,1785 Florida Avenue NW,Washington,DC,20009,72,Restaurant,Ward 1,38.91719,-77.04129,30,11,19
"Purple Patch, LLC dba Purple Patch Restaurant",U Street/14th Street NW,"$40,000.00 ",2016,3155 Mount Pleasant Street NW,Washington,DC,20010,72,Restaurant,Ward 1,38.93057,-77.03768,60,40,20
"Le Bustiere Boutique, LLC",U Street/14th Street NW,"$25,000.00 ",2016,"1744 Columbia Rd NW, Unit # 2",Washington,DC,20002,44-45,Retail,Ward 1,38.92383,-77.04047,8,5,3
"Rachel Joyce Studios, LLC dba Rachel Joyce Organic Salon",U Street/14th Street NW,"$18,477.00 ",2016,1754 Columbia Road NW #2,Washington,DC,20009,81,Salon,Ward 1,38.92365,-77.04068,16,12,4
,,,,,,,,,,,,,0,0,
